transaction_id,customer_id,transaction_date,amount,payment_method
78b4d004-8967-4be5-9759-b1b4818cda3c,baba7087-8d29-4f61-8ead-4faba283f5b5,21/06/2024,373.52,Cash
ee0003a9-7f6e-43aa-a35d-0b379451fe6c,00739449-43a8-4182-a0c5-0ff9deec938a,28/12/2023,361.41,Bank Transfer
38beb1d6-00bf-475d-94b0-ebb2f8c430ec,bfc791f6-ffac-4261-814e-3e1161250633,10/07/2024,980.41,Debit Card
a426758b-cd47-47c5-8383-e6c0c8474ed6,6e15f15d-7dba-410e-bdb0-1838295cb86e,12/03/2024,821.78,Debit Card
55e50072-7564-4788-a9c2-320a5657d921,baba7087-8d29-4f61-8ead-4faba283f5b5,05/01/2024,320.33,Debit Card
aa6ae2e6-73fe-4102-923a-bec780c9abb5,e4437555-ff04-4b27-8435-b81f8c0ce9f6,19/06/2024,930.2,Credit Card
44b7f863-918d-4a59-9cef-8d588da68f26,849216c1-5b35-4461-8761-76f3fd34a760,18/05/2024,612.11,PayPal
16d4843a-ecab-4a89-8b94-55bc314e7633,e9418207-8616-428f-8e1c-eb342eb86905,25/06/2024,766.51,Debit Card
d8c86284-3ca4-4d2a-8813-a56a7075a65a,76b1cb47-375e-4ecf-a8b6-4e7312b1f459,05/06/2024,256.12,Credit Card
769e4b6b-ca0d-4a71-9f27-d798dcc6a520,2e51f034-97de-4d53-9ef8-6f7abcb3bb16,20/09/2024,774.82,Bank Transfer
38c99fd1-4cb6-498b-aeaf-2f20d1613dc7,4e1ae961-9f45-4c43-92b8-18d59f7c8374,20/02/2024,536.83,Cash
993f52c2-eb60-47d7-8755-4b9a01ff9708,0b3748ad-8baf-4c1c-8aa7-03f3dd0e9813,15/02/2024,450.8,Credit Card
751c5efd-ebc4-4d2b-92a4-dd1991c8d042,146721b0-4519-4ddb-bcf3-e3a6f6eac2dc,15/08/2024,498.02,Debit Card
2ae2cbea-5c43-4592-81e4-8a1a88d7f013,00739449-43a8-4182-a0c5-0ff9deec938a,18/06/2024,929.41,PayPal
0eaed397-9cda-459b-b278-aace1dabb64a,4e1ae961-9f45-4c43-92b8-18d59f7c8374,17/02/2024,276.49,Bank Transfer
c8914ecf-03f0-4553-92b2-33b2f752eae4,00739449-43a8-4182-a0c5-0ff9deec938a,22/02/2024,674.77,Credit Card
89e55214-1643-42de-a8bc-572d44d2d488,a9504ed6-ed1b-4712-8342-15fc8a264c41,31/07/2024,135.59,Bank Transfer
1a281820-6d19-4882-abb4-30836655ba0a,11e54b2b-16df-4499-aea8-a7ca745b4b0a,17/05/2024,616.62,PayPal
46746cf9-a205-4446-a54e-665de9e05e4c,8d50670f-210d-4fb2-98aa-2e8a46c20f53,04/01/2024,836.29,Bank Transfer
53edb1e9-c2a3-46fe-9bdb-ebfae4f1b61e,baba7087-8d29-4f61-8ead-4faba283f5b5,02/04/2024,754.61,Debit Card
b32bc093-99df-4c45-b07b-00e3054c0dc5,13e96f4f-965b-4eb3-bbf6-e173069c2b81,16/03/2024,918.97,Cash
5d61565d-9017-4f85-8a0e-0f47fd186e40,173685b3-8fb2-4c3e-be7a-915139427103,02/02/2024,803.84,PayPal
2b2a86ca-c291-4817-8561-42298f836e36,5259b5e7-74e6-4f19-9537-1c90eede8295,07/12/2023,336.16,PayPal
edd655e8-690e-4034-b95a-fa2c8b7d55a8,d9dd496b-5d89-460a-b31b-87b9485012b9,20/05/2024,945.59,Credit Card
719c4d60-5fc6-41ef-86ea-8134d2e74540,2e053e3e-2590-4af9-b3e2-8230a35f059c,08/01/2024,635.34,Debit Card
59d74103-cb46-4411-840b-134a80714d17,d0fd2394-ae99-49d9-9393-0a58ed95d431,28/03/2024,197.22,Credit Card
eace590a-750b-4df9-a541-071c7cdc6212,2e51f034-97de-4d53-9ef8-6f7abcb3bb16,13/07/2024,359.87,Bank Transfer
015ca91f-8d33-4a78-9fa6-a280b2facbbe,f259c312-fb0d-43b2-ad67-29ab97ecf7da,01/04/2024,804.34,Debit Card
9bb660db-93ef-4778-a691-2c0710e90100,16b9b3ac-8c03-4f25-aee4-76cd0ffe6639,01/11/2023,652.03,Debit Card
d64df851-dd10-41df-bcc1-7db231a09847,2e053e3e-2590-4af9-b3e2-8230a35f059c,18/10/2023,942.15,Debit Card
d961a0fe-95e0-4a45-a01c-aa72d1f527c3,8133679f-033d-4ddb-92eb-d651071ad44f,19/07/2024,431.04,Credit Card
ead3b0c3-9238-4cda-9cd4-5787ff69770f,fd8f6a1c-e4c5-47d8-8033-5eb8b5e55c12,12/02/2024,875.86,Cash
836f0eb0-456e-4d3c-b3eb-53123dfafdff,11e54b2b-16df-4499-aea8-a7ca745b4b0a,28/06/2024,602,PayPal
f0693c85-5bf1-4753-a1d4-0f347948a109,0c35ba87-304c-4a62-92bc-ed614f47f751,07/08/2024,,Debit Card
8b7ee667-e2ef-4ab0-a122-5018f71300f5,1ab405b8-4aa2-4087-b3c4-ed39c3911fba,30/09/2024,624.09,Debit Card
7f6f3519-4e4d-44a0-ac51-aae6707538be,7fd6fbad-3bb1-46e7-87f8-5af2cd23100b,20/02/2024,89.6,Bank Transfer
ac7d2366-13ab-4560-833c-8e7e70c581f3,16b9b3ac-8c03-4f25-aee4-76cd0ffe6639,16/03/2024,894.97,Debit Card
2b4a8c51-b6de-4db6-9afc-54304fcb8fea,5b979cde-ec28-4b1a-a6cd-79f7fd1d13f4,26/01/2024,402.35,Bank Transfer
54155c55-118c-4240-ba33-6fad00991c26,a93b0fa0-2cba-44e6-a1cb-53dd7b7627ea,12/02/2024,865.03,PayPal
9c2a31ec-569d-442f-986b-de07d085b4d1,00739449-43a8-4182-a0c5-0ff9deec938a,23/03/2024,83.88,Debit Card
5a2a9190-e7cb-4e80-8b99-7bbe2bbc54ed,e2ef4005-45ba-4338-b6b0-20c0298f69b3,23/12/2023,869.82,Bank Transfer
f05825e3-8d5a-4a5f-8c79-01bfe050abc5,f5ebc0af-8e04-48bb-bad9-c4a023f56b56,15/01/2024,423.79,Credit Card
8df5a95c-5097-469a-9a80-1a572d31c5ff,1baba348-e104-48d4-94d7-b755a0e87738,25/04/2024,369.72,Credit Card
847139f7-dbf0-4b7b-842e-e0566a7c5ffc,1baba348-e104-48d4-94d7-b755a0e87738,31/10/2023,625.75,Bank Transfer
20dc4f71-3625-489b-bfee-14869392b9cf,3e585eee-488f-4276-a38f-743fe1663c68,27/12/2023,970.2,Cash
1260bd52-c57d-46a6-a0af-1fab150c7cca,00739449-43a8-4182-a0c5-0ff9deec938a,19/07/2024,605.09,Credit Card
1723f22c-8b15-4b76-b4f9-c17ba629f79e,f5ebc0af-8e04-48bb-bad9-c4a023f56b56,26/06/2024,609.47,Cash
3711b164-ad19-487b-88f7-224ee112b376,f98019a3-731c-45a8-9703-0459b9e46476,13/05/2024,791.02,Credit Card
